"Câu cửa miệng của các bạn nhân viên là hết đồ ăn
Không hiểu bán gì luôn
Sáng trưa cũng bảo hết salad ( nếu là tối thì mình oki k nói)
Đỉnh điểm là bảo hết đồ mới có 8h30 
Từ gà rán đến gà nướng đều bảo hết 
Như kiểu k muốn bán hàng hay sao đó
Gà rán thì 15p đợi
Gà nướng thì 30-35p
Mình bảo oki đợi được thì cứ hỏi đi hỏi lại như kiểu muốn mình không ăn món đó ý
Bỏ tiền ra ăn chứ có đi xin các bạn ý đâu
Mình bảo mình chỉ thích món đó nên mình đợi được thì thái độ
Hết nhân viên đến trưởng quầy ra nói đi nói lại là đợi 35p
Xong mình đặt thêm phần gà flavar thì bảo 2 loại 2 phần khó làm lâu hơn nên bắt mình ăn 2 phần C2 hoặc 2 phần flavar
Thực sự là làm ăn buồn cười không thể hiểu nổi
Đã đợi 30-35p thì ít nhất cũng cho kh ăn món kh order chứ!
Xong đi vào ngồi thì đuổi ra ngoài bảo sắp dọn cửa hàng nên là anh chị ra ngoài em đang dọn trong này rồi!
;)
Trần đời thấy 1 lại tưởng đi nhầm quán không phải kfc ý!",1.0
"- Tác phong làm việc chậm chạp
- Gà đã mềm còn mặn, gà giòn thì hết
- 3 cái máy tính tiền nhưng chỉ có 2 Nhân viên ở 2 máy, khánh hàng đứng chờ rất lâu mới bảo sang hàng bên cạnh.
- Nhân viên vừa làm vừa chơi, nói chung là chậm chạp
- 0 quay lại lần 2",1.0
"Happy vietnamese woman's day
Ngày của phụ nữ nên chị em đưa nhau đi ăn
Đùi gà quay tiêu giấy bạc luôn là lựa chọn hàng đầu
Đùi hôm nay to hơn những lần trước luôn :)) 
Ăn rất ngon kiểu như đùi mới vừa làm xong, k phải đùi để lâu
Đến giờ trưa là đông chờ dài cổ :))",8.0
"Ăn ở đây mòn răng giờ mới chịu lên ý kiến ý cò chút
Ngày trước m ăn ở đây thái độ nhân viên cực tốt nha
Bg thì bớt bớt rồi, chả nhiệt tình nữa
Cơ mà đồ vẫn nóng hỏi, ngon lành cành đào nên m hay order. Vì freeshipping mà. Ahihi",6.4
"Hôm tối mưa tầm tã vào kfc ăn. Mình gọi combo 2 người. Bth là nv sẽ phải hỏi khách là ăn gà cay hay gà không cay. Nhưng đây bạn này thì không. Mình vào bảo lấy combo 2 người chưa nói xong bạn í quay ngoắt đi lấy đồ để bẹt ngay trước mặt mình và không nói 1 câu nào. Oke, xong bill không đưa, mình còn chưa kịp cầm khay đồ đi thì đã thấy bạn nv đó lấy tiền két nhét túi kiểu mặt như không có ai cả :)) thái độ nhân viên quá chán )) ít ra ăn tiền lậu thì cũng đối xử với khách tử tế chút đừng để người ta lên đây review mất mặt !",2.8
"Quanh quanh khu này có mỗi KFC là quán bán đồ ăn nhanh thôi. Có lẽ thế nên lúc nào cũng đông
Ăn mòn răng mà hnay mới nhớ ra chụp ản
Vị trí ngay mặt đường, để xe thuận tiện, rộng rãi. 
Không gian bên trong cũng rộng, khá thoáng
Nhân viên đa phần có thái độ lịch sự nhưng nhiều khi quên đơn. Bảo ra bàn ngồi chờ r mang đồ ra sau mà chờ dài cổ thấy có ng đến sau order đã có luôn cái mình đang chờ, chạy đến hỏi mới ớ ng ra 
Hnay ăn thử zinbo mới. Mở ra nhìn chả thấy tí rau xanh nào như trong hình :))) ăn cũng bình thường
Đùi gà quay tiêu giấy bạc vẫn luôn là ngon nhất",7.2
"Vừa mua luôn. Mụ chị ở nhà cảm thấy đói, bảo đi mua. 
Thế là lặn lội từ ngoại thành city, đi ra chỗ gần nhà nhất thì đóng cửa, thế là phải ra xa hơn. 
Ra tới nơi thấy đang dọn hàng đổ rác rồi, may quá vẫn còn đang mở cửa. 

bà chị mình đòi ăn bơ gơ, may còn bơ gơ tôm.
thôi thì mua tạm hai em. 

chờ hơi hơi lâu xíu, cơ mà được cái bánh ra nóng nguyên và rất thơm.

Chỗ này siêu to nhé, chỗ để xe to, phòng cũng to luôn, ngồi có mà bét nhè. 

Chắc chắn có dịp sẽ còn quay lại.j",7.6
"Mình đi ăn lúc 12h hơn, quán không đông khách lắm. Có 3 nhân viên đứng order nhưng cứ chạy lung tung mặc kệ khách, mình chờ rất lâu ở bên phải, nhân viên cứ gào lên thẻ giảm giá đâu mất rồi rồi chạy loạn lên, khách có thẻ giảm giá chán quá bảo thôi không cần giảm giá nữa đâu. Sau đó, bạn nhân viên đấy bảo mình sang trái xếp hàng đi, em bận rồi. Vừa sang bên trái xếp hàng thì nhân viên bên trái chạy sang bên phải order cho khách khác. Thật sự khó hiểu. Đi ăn mất tiền mà như đi ăn xin vậy. 
Thôi về. Khỏi ăn 😀",1.0
Mọi thứ đều ok. Giao nhanh. Đồ ngon. Trừ việc bạn nào để lá xà lách của mình dưới miếng gà nóng vậy 😭 mất thẩm mĩ quá,6.4
"Hnay mình gọi combo dịp valentine nhưng ko biết là do sắp tết hay gì mà thái độ của nhân viên chán quá :(( gọi 2 gà truyền thống, 2 gà giòn cay mà ăn lại là gà truyền thống hết ;(( đã thế gà còn nhạt quá, ăn chả có vị còn hơi ngán :( chắc ko ăn ở đây nữa.",5.6
"Vì gần nên cũng hay đến ăn.thái độ phục vụ của nhân viên thì tùy ca thôi.lần nào cũng gà rán k thì gà quay(món này ngon nè) .Hôm nay mới quyết định thử món mới, chizza uây hình ảnh thì lung linh hấp dẫn lắm, nhưng mở ra thì ""tụt cxúc luôn ""hành tây vs ớt thì sống, đã thế lại còn MẶN.Nói chung là k thể duyệt đc món này",6.2
"Mình khá thất vọng vì phục vụ ở đây, nhất là bạn áo trắng ở giữa
Bọn mình cũng đi làm kiếm tiền, cũng suy nghĩ đắn đo mới dám vác mặt đến đây ăn vì giá cả cũng hơi chát so với bọn mình. Đúng là nghèo thật nhưng cũng đừng đối xử vậy chứ?
Nước thì được hơn nửa, khoai tây mua thêm thì ném vào túi như cho ăn xin vậy, không thể đặt nhẹ nhàng được hả bạn?
Hỏi khách hàng dùng gì mà cau có, người ta lần đầu đến mà, phải nhẹ nhàng chào hỏi, từ tốn hỏi chứ, khách thì không có, mình nhấn mạnh là lúc đấy không có khách nào đứng ở đó, chỉ có 3 bạn phục vụ mà thôi
- Anh ăn gì?
Mình cũng chả biết nói như nào, chỉ bảo là cho 1 phần mang về, bạn ất gắt với mình: phần gì?
rồi lại, anh ăn cái gì, phần gì mang về???
Tính mình tự ái cao nên cũng chỉ nhẹ nhàng trả lời, mua thêm 1 combo nước + khoai, nước hơn nửa, khoai thì bạn ấy lấy 1 túi ném vào túi đựng của mình, oke fine :) 
Các bạn phục vụ như vậy sao bọn mình dám vào ăn nữa???",4.0
Cho e hỏi ben mh co ship thuc an qua 204 mê tri thuong k a,
